,Ticker,Market Cap,Num Trades,Success Rate,Avg Return
0,MMM,large,31,0.5806451612903226,0.009892389930533083
1,AOS,large,34,0.5588235294117647,0.014189223773715374
2,ABT,large,38,0.5789473684210527,0.027598336831777266
3,ABBV,large,38,0.47368421052631576,0.02633762786988775
4,ACN,large,29,0.6206896551724138,0.03293565840660231
5,ATVI,large,34,0.7352941176470589,0.025565814993674527
6,AYI,mid,37,0.4864864864864865,-0.005721793398492015
7,ADBE,large,30,0.6333333333333333,0.058997099937333264
8,AAP,mid,32,0.5625,0.007563757239914131
9,AMD,large,32,0.625,0.11508040374309213
10,AES,mid,42,0.5952380952380952,0.015128999948027223
11,AET,large,14,0.5714285714285714,0.04271434465992431
12,AMG,large,31,0.4838709677419355,2.2069992816756234e-05
13,AFL,large,31,0.6129032258064516,0.014816868773744113
14,A,large,29,0.6551724137931034,0.02428644518042939
15,APD,large,36,0.5277777777777778,0.014856947067447758
16,AKAM,large,30,0.5666666666666667,0.018180781757459862
17,ALK,mid,29,0.5862068965517241,0.0007685044772509259
18,ALB,large,29,0.6206896551724138,0.020548725245676608
19,ARE,large,38,0.5789473684210527,0.016648674316726703
20,ALXN,large,34,0.4411764705882353,-0.008088207499574215
21,ALGN,large,29,0.5862068965517241,0.07760386867968144
22,ALLE,mid,33,0.7878787878787878,0.024811757942242572
23,ADS,large,30,0.5333333333333333,-0.0135130732233161
24,LNT,mid,33,0.5757575757575758,0.010551963356897155
25,ALL,large,37,0.6216216216216216,0.014457960593654097
26,GOOGL,mega,37,0.5405405405405406,0.012380605121507945
27,GOOG,mega,34,0.47058823529411764,0.014522185649702842
28,MO,large,27,0.48148148148148145,0.0019980491654628244
29,AMZN,mega,27,0.7037037037037037,0.05505621041302562
30,AEE,large,38,0.5789473684210527,0.012907366465053551
31,AAL,large,24,0.5416666666666666,-0.018420441239350507
32,AEP,large,35,0.6571428571428571,0.008946183017533544
33,AXP,large,28,0.6428571428571429,0.028381463715120105
34,AIG,large,32,0.5,0.013498455044047234
35,AMT,large,41,0.6829268292682927,0.016647761001348255
36,AWK,large,33,0.5757575757575758,0.01967312457600323
37,AMP,large,31,0.4838709677419355,0.024118239625586468
38,ABC,large,35,0.37142857142857144,-0.004322767334062951
39,AME,large,37,0.5945945945945946,0.024612913980031674
40,AMGN,large,29,0.5172413793103449,0.015825984573255087
41,APH,large,32,0.625,0.02173602711795423
42,ADI,large,31,0.7419354838709677,0.036963019291408945
43,ANDV,large,20,0.4,0.02078558311404676
44,ANSS,large,37,0.7027027027027027,0.025502308622649256
45,ANTM,large,40,0.575,0.02327185147128712
46,AON,large,30,0.7,0.02384656998036498
47,APA,large,24,0.5416666666666666,-0.034050963363587844
48,AIV,mid,37,0.6756756756756757,0.02181053800073997
49,AAPL,mega,17,0.7647058823529411,0.11648367775532895
50,AMAT,large,31,0.6129032258064516,0.06121411389391426
51,APTV,large,30,0.5333333333333333,0.012704514433296144
52,ADM,large,31,0.3548387096774194,0.0014004769755014304
53,ARNC,large,7,0.8571428571428571,0.2114467904495437
54,AJG,large,42,0.6904761904761905,0.028024552052033802
55,AIZ,mid,34,0.5,0.014018308084311348
56,T,mega,27,0.4444444444444444,0.006349268817095131
57,ADSK,large,28,0.6428571428571429,0.03949218956660725
58,ADP,large,47,0.48936170212765956,0.014654353963556889
59,AZO,large,39,0.5641025641025641,0.007564381383927016
60,AVB,large,35,0.6285714285714286,0.0015590078121958137
61,AVY,large,39,0.6153846153846154,0.020410361264851542
62,BLL,large,31,0.6129032258064516,0.044382869151887744
63,BAC,mega,22,0.6363636363636364,0.04980924233379703
64,BAX,large,26,0.6923076923076923,0.02522297939989036
65,BDX,large,32,0.5,0.023131738061618255
66,BBY,large,33,0.5454545454545454,0.020664127399982427
67,BIIB,large,35,0.4857142857142857,2.124131425624464e-05
68,BLK,large,40,0.575,0.014944495509307579
69,HRB,mid,39,0.5897435897435898,0.0014531954760525555
70,BA,mega,30,0.6666666666666666,0.04253006851700369
71,BWA,large,25,0.52,0.004227148463823283
72,BXP,large,31,0.5161290322580645,-0.0008614194837030548
73,BSX,large,36,0.6388888888888888,0.025760984001247777
74,BHF,mid,23,0.4782608695652174,-0.02557101696269142
75,BMY,large,40,0.4,-0.0014469591442584438
76,AVGO,large,27,0.6296296296296297,0.03923567656314137
77,CHRW,large,37,0.43243243243243246,-0.0023262612575321454
78,CA,large,20,0.5,0.018794518052329106
79,COG,large,34,0.5882352941176471,0.002719922926519707
80,CDNS,large,26,0.7692307692307693,0.06711546446479975
81,CPB,large,46,0.45652173913043476,-0.0019329742131346127
82,COF,large,23,0.5217391304347826,0.004331819352532036
83,CAH,large,35,0.5142857142857142,-0.0030627373551560563
84,KMX,large,34,0.6470588235294118,0.022979192280309688
85,CCL,large,25,0.44,-0.009865483795275519
86,CAT,large,30,0.5333333333333333,0.029679870465431846
87,CBOE,large,31,0.5161290322580645,0.01357749737780428
88,CNC,large,34,0.5882352941176471,0.031820703186273974
89,CNP,large,35,0.4857142857142857,-0.00406831291981869
90,CERN,large,37,0.5405405405405406,0.011016474881266298
91,CF,mid,33,0.5151515151515151,0.00934481274805003
92,SCHW,large,29,0.5172413793103449,0.011309344315558552
93,CHTR,large,40,0.725,0.029560359877355023
94,CVX,mega,30,0.5666666666666667,0.0027775736094045925
95,CMG,mid,28,0.7142857142857143,0.025551582196598737
96,CB,large,44,0.5909090909090909,0.007261795102473359
97,CHD,large,37,0.5135135135135135,0.016393657232300168
98,CI,large,30,0.4666666666666667,0.003973083798264854
99,XEC,large,39,0.46153846153846156,-0.024268917202226646
100,CINF,large,30,0.6333333333333333,0.017829577218872888
101,CTAS,large,30,0.6666666666666666,0.042518477578085676
102,CSCO,large,27,0.5925925925925926,0.021900467829132717
103,C,large,26,0.6153846153846154,0.02517693680225306
104,CFG,large,30,0.4666666666666667,0.004755236625473066
105,CTXS,large,39,0.5897435897435898,0.010164322317592284
106,CME,large,35,0.5714285714285714,0.016383351731140566
107,CMS,large,26,0.7307692307692307,0.0097114566060957
108,KO,large,36,0.5277777777777778,0.011803566946927422
109,CTSH,large,35,0.4857142857142857,0.004073774882956311
110,CL,large,42,0.5,-0.0016580892616475662
111,CMCSA,large,39,0.6153846153846154,0.01215650426676044
112,CMA,large,32,0.5625,0.04029248820344792
113,CAG,large,36,0.5555555555555556,-0.005712913562068409
114,CXO,large,36,0.5277777777777778,-0.01972619065309608
115,COP,large,31,0.6451612903225806,0.011536982711943951
116,ED,large,34,0.47058823529411764,0.002858644120439197
117,STZ,large,33,0.5454545454545454,0.00695149510457108
118,GLW,large,33,0.6060606060606061,0.02984488207827723
119,COST,large,31,0.6774193548387096,0.01790360761931115
120,COTY,large,32,0.3125,-0.025500031240633915
121,CCI,large,39,0.6153846153846154,0.014104458656639021
122,CSRA,mid,13,0.5384615384615384,0.04589553754241923
123,CSX,large,36,0.6944444444444444,0.025640636745490428
124,CMI,large,31,0.6451612903225806,0.024930725005658176
125,CVS,large,29,0.3793103448275862,-0.01632481189187788
126,DHI,large,37,0.6216216216216216,0.03077329294731789
127,DHR,large,33,0.6060606060606061,0.04543535953063348
128,DRI,large,35,0.5142857142857142,0.015065405355898204
129,DVA,large,29,0.4482758620689655,0.011949851303675674
130,DE,large,24,0.75,0.05147946069447499
131,DAL,large,37,0.6486486486486487,0.021217958737081127
132,XRAY,large,36,0.5,-0.0018987978085931122
133,DVN,large,33,0.6060606060606061,0.011644577871292508
134,DLR,large,22,0.6818181818181818,0.043659808858492716
