,Ticker,Market Cap,Num Trades,Success Rate,Avg Return
0,MMM,large,32,0.5,0.007335063986091158
1,AOS,large,31,0.5483870967741935,0.012855993498674678
2,ABT,large,33,0.48484848484848486,0.03141004403364858
3,ABBV,large,37,0.4864864864864865,0.030035095993340612
4,ACN,large,28,0.7142857142857143,0.033839835239128764
5,ATVI,large,36,0.6944444444444444,0.020822644984852604
6,AYI,mid,34,0.4117647058823529,-0.010338552485249187
7,ADBE,large,27,0.7037037037037037,0.06488723658392569
8,AAP,mid,38,0.5526315789473685,0.006543565202459974
9,AMD,large,27,0.6666666666666666,0.14277250398083208
10,AES,mid,39,0.5384615384615384,0.012230086586162906
11,AET,large,14,0.6428571428571429,0.043590313648633465
12,AMG,large,32,0.53125,-0.00020456259795254353
13,AFL,large,33,0.5757575757575758,0.01462676400299508
14,A,large,32,0.6875,0.02457226235014019
15,APD,large,38,0.5,0.013843610315163022
16,AKAM,large,35,0.5428571428571428,0.014990374399769205
17,ALK,mid,33,0.5151515151515151,-0.003801982855395761
18,ALB,large,31,0.5161290322580645,0.01360573961394618
19,ARE,large,38,0.5789473684210527,0.01858232337079843
20,ALXN,large,35,0.37142857142857144,-0.003045032830377415
21,ALGN,large,29,0.5172413793103449,0.07740766236081909
22,ALLE,mid,34,0.6764705882352942,0.022298508098492275
23,ADS,large,27,0.48148148148148145,-0.010106177219858367
24,LNT,mid,35,0.6,0.013344495690125897
25,ALL,large,31,0.7096774193548387,0.01869120304000835
26,GOOGL,mega,31,0.5806451612903226,0.016325576922108852
27,GOOG,mega,32,0.59375,0.019473158979656745
28,MO,large,29,0.4482758620689655,-0.0009677431748577318
29,AMZN,mega,25,0.6,0.060778347036300175
30,AEE,large,35,0.6285714285714286,0.01926121194539778
31,AAL,large,25,0.48,-0.00882565013497689
32,AEP,large,36,0.6944444444444444,0.01003805964957853
33,AXP,large,29,0.6551724137931034,0.026906164058342535
34,AIG,large,32,0.4375,0.006430456930746699
35,AMT,large,43,0.5813953488372093,0.02181037884949155
36,AWK,large,36,0.6388888888888888,0.028768826606214375
37,AMP,large,37,0.5405405405405406,0.022349880310585588
38,ABC,large,33,0.48484848484848486,0.0047997654660915014
39,AME,large,35,0.6,0.024380006799172883
40,AMGN,large,31,0.4838709677419355,0.016885168651076657
41,APH,large,25,0.72,0.027859823693042768
42,ADI,large,30,0.7333333333333333,0.04308404293189716
43,ANDV,large,19,0.42105263157894735,0.02423850446130887
44,ANSS,large,36,0.6944444444444444,0.02873629087740727
45,ANTM,large,37,0.5135135135135135,0.018118503743540293
46,AON,large,31,0.6451612903225806,0.02125183731663425
47,APA,large,28,0.42857142857142855,-0.029870427894057496
48,AIV,mid,41,0.6341463414634146,0.017775188313453805
49,AAPL,mega,17,0.8235294117647058,0.1056615102057448
50,AMAT,large,29,0.6896551724137931,0.060709722223895014
51,APTV,large,29,0.6551724137931034,0.019448824069146373
52,ADM,large,26,0.46153846153846156,0.011286271396727767
53,ARNC,large,7,1.0,0.22178697484518461
54,AJG,large,39,0.8205128205128205,0.030978803318389012
55,AIZ,mid,32,0.5625,0.014433034393398093
56,T,mega,23,0.5217391304347826,0.010504198086680998
57,ADSK,large,27,0.6666666666666666,0.03874985600333056
58,ADP,large,45,0.5777777777777777,0.01852120554835853
59,AZO,large,43,0.6046511627906976,0.012593073772242771
60,AVB,large,41,0.5365853658536586,0.00044513855625184616
61,AVY,large,36,0.5277777777777778,0.024453132610209066
62,BLL,large,35,0.6,0.03933519144646694
63,BAC,mega,27,0.6296296296296297,0.03995793673549126
64,BAX,large,28,0.6071428571428571,0.026776625360691638
65,BDX,large,31,0.5483870967741935,0.024433581184258344
66,BBY,large,29,0.5517241379310345,0.025454061325550944
67,BIIB,large,31,0.5161290322580645,0.006308621564899839
68,BLK,large,37,0.5675675675675675,0.016976294631644996
69,HRB,mid,31,0.45161290322580644,-0.005647326086308771
70,BA,mega,30,0.6333333333333333,0.04171810545824372
71,BWA,large,33,0.48484848484848486,0.0011612310580925353
72,BXP,large,30,0.6,0.002323998418640781
73,BSX,large,31,0.5806451612903226,0.024671546109910958
74,BHF,mid,20,0.5,-0.02564163980770765
75,BMY,large,42,0.42857142857142855,-0.003338008928240743
76,AVGO,large,30,0.5666666666666667,0.031729091340397225
77,CHRW,large,41,0.3902439024390244,-0.0014618788629811737
78,CA,large,21,0.6190476190476191,0.020773224207638833
79,COG,large,40,0.55,-0.005057401564477695
80,CDNS,large,27,0.7777777777777778,0.060933228915885214
81,CPB,large,44,0.5454545454545454,0.008557776447048205
82,COF,large,26,0.4230769230769231,0.004208268223079768
83,CAH,large,31,0.6451612903225806,0.011221898358543108
84,KMX,large,36,0.5833333333333334,0.02708695241693688
85,CCL,large,25,0.48,-0.007475343234547816
86,CAT,large,30,0.5333333333333333,0.029376337926201833
87,CBOE,large,35,0.5714285714285714,0.011017607373223033
88,CNC,large,41,0.6097560975609756,0.023638024320762886
89,CNP,large,38,0.4473684210526316,-0.0008192897130961436
90,CERN,large,32,0.53125,0.011010687468823109
91,CF,mid,33,0.5454545454545454,0.0036919734976591703
92,SCHW,large,29,0.5172413793103449,0.008216081607855159
93,CHTR,large,38,0.6578947368421053,0.02572803997168929
94,CVX,mega,27,0.5185185185185185,2.7355150785526553e-05
95,CMG,mid,30,0.6666666666666666,0.03069157365384993
96,CB,large,43,0.5581395348837209,0.0019197459670041452
97,CHD,large,33,0.5757575757575758,0.01979691069296553
98,CI,large,28,0.39285714285714285,0.00349460130345185
99,XEC,large,42,0.5,-0.019224342052862716
