,Symbol,Start Date,End Date,Buy Price,Sell Price,Change,Market Cap
10,CTVA,2020-10-06,2020-11-04,29.897279739379883,32.57004928588867,0.08939841918086915,Large
11,CTVA,2020-11-10,2020-12-14,35.997955322265625,38.6489143371582,0.07364193302537088,Large
12,CTVA,2021-01-07,2021-03-09,41.68020248413086,44.709999084472656,0.07269150387393988,Large
0,COST,2016-05-11,2016-07-01,131.31887817382812,139.34329223632812,0.0611063251079407,Large
1,COST,2016-07-08,2016-08-03,147.6712188720703,148.27818298339844,0.004110239733674486,Large
2,COST,2016-08-26,2016-10-04,146.7167205810547,134.6790008544922,-0.0820473609203402,Large
3,COST,2016-10-12,2016-10-13,134.66116333007812,134.44630432128906,-0.0015955528934679213,Large
4,COST,2016-10-17,2016-10-19,133.08595275878906,133.75718688964844,0.00504361367180464,Large
5,COST,2016-11-02,2017-01-09,131.31398010253906,144.51092529296875,0.10049916376096892,Large
6,COST,2017-01-20,2017-01-23,147.4465789794922,146.3423309326172,-0.0074891398262185915,Large
7,COST,2017-01-24,2017-02-01,146.93487548828125,145.3098907470703,-0.011059217464954654,Large
8,COST,2017-02-03,2017-03-30,151.10940551757812,151.12933349609375,0.00013187781691925744,Large
9,COST,2017-04-10,2017-05-23,154.12693786621094,161.99581909179688,0.05105454850738991,Large
10,COST,2017-05-25,2017-12-29,164.11856079101562,175.89617919921875,0.0717628667436369,Large
11,COST,2018-01-16,2018-03-12,181.00897216796875,179.44654846191406,-0.008631747295956267,Large
12,COST,2018-03-22,2018-03-27,173.06922912597656,173.55250549316406,0.002792387587488037,Large
13,COST,2018-04-17,2018-05-09,185.72915649414062,185.7670135498047,0.00020382936302872195,Large
14,COST,2018-05-21,2018-05-22,189.71104431152344,189.09329223632812,-0.0032562789237557794,Large
15,COST,2018-05-23,2018-06-01,188.3045196533203,187.3446502685547,-0.005097431471813852,Large
16,COST,2018-06-11,2018-08-14,194.34881591796875,210.98011779785156,0.08557449553437256,Large
17,COST,2018-08-20,2018-10-31,216.06455993652344,217.82040405273438,0.008126479033520251,Large
18,COST,2018-11-05,2019-02-01,223.36520385742188,200.8046417236328,-0.10100302887010944,Large
19,COST,2019-02-19,2019-04-25,208.86387634277344,235.17774963378906,0.12598575565949496,Large
20,COST,2019-05-22,2019-08-23,239.56703186035156,263.0907287597656,0.09819254643154113,Large
21,COST,2019-08-27,2019-10-04,280.72869873046875,280.6664733886719,-0.0002216565035148699,Large
22,COST,2019-10-11,2019-10-31,286.37274169921875,286.5223388671875,0.0005223861987740229,Large
23,COST,2019-11-14,2019-11-26,293.7358093261719,290.5052185058594,-0.010998287296749605,Large
24,COST,2019-12-05,2019-12-27,282.6552734375,283.6292419433594,0.0034457821855382307,Large
25,COST,2020-01-14,2020-03-19,289.0682678222656,294.9639587402344,0.02039549675370709,Large
26,COST,2020-03-25,2020-05-04,271.4224548339844,294.9307556152344,0.08661148096839982,Large
27,COST,2020-05-06,2020-05-11,299.192626953125,300.5873718261719,0.004661695334041076,Large
28,COST,2020-06-17,2020-08-03,290.2039489746094,319.6673278808594,0.10152645754943818,Large
29,COST,2020-08-04,2020-09-10,329.8304443359375,329.5780944824219,-0.0007650896327162653,Large
30,COST,2020-09-23,2020-09-25,334.5285949707031,332.5386657714844,-0.005948457707757452,Large
31,COST,2020-09-29,2020-12-11,341.8184814453125,374.3608093261719,0.09520353534794408,Large
32,COST,2020-12-17,2021-02-19,369.560302734375,354.7699890136719,-0.04002138111498898,Large
0,CCI,2016-05-10,2017-01-09,76.19324493408203,74.31219482421875,-0.02468788554012441,Large
1,CCI,2017-01-12,2017-01-19,73.83544921875,74.37288665771484,0.007278853784346791,Large
2,CCI,2017-01-23,2017-01-26,75.46505737304688,76.28853607177734,0.010912052907609432,Large
3,CCI,2017-01-31,2017-02-01,76.13252258300781,75.10968017578125,-0.013435025827646134,Large
4,CCI,2017-02-03,2017-02-08,76.92131042480469,75.98515319824219,-0.01217032343043156,Large
5,CCI,2017-02-14,2017-04-25,78.2302017211914,82.59000396728516,0.055730423163573975,Large
6,CCI,2017-04-26,2017-05-04,82.79151153564453,83.03680419921875,0.0029627755191860704,Large
7,CCI,2017-05-12,2017-05-15,82.406005859375,83.86910247802734,0.017754732842520035,Large
8,CCI,2017-05-18,2017-06-19,86.42733764648438,89.39655303955078,0.03435504869086044,Large
9,CCI,2017-06-23,2017-06-27,88.29115295410156,90.1217041015625,0.020733120887123938,Large
10,CCI,2017-07-11,2017-07-12,86.92045593261719,88.47685241699219,0.01790598619940001,Large
11,CCI,2017-07-18,2017-07-19,85.46131134033203,87.2476577758789,0.02090239908013018,Large
12,CCI,2017-08-02,2017-09-15,90.03327178955078,94.13082122802734,0.04551150210396022,Large
13,CCI,2017-09-20,2017-10-16,90.88246154785156,90.89139556884766,9.83030261717746e-05,Large
14,CCI,2017-10-20,2017-10-30,93.69354248046875,94.69303131103516,0.010667638389003795,Large
15,CCI,2017-11-02,2017-12-04,94.92505645751953,97.83429718017578,0.03064776394373999,Large
16,CCI,2017-12-06,2017-12-29,97.43272399902344,100.0086898803711,0.026438405656948223,Large
17,CCI,2018-01-10,2018-04-02,94.522216796875,98.94464874267578,0.04678722204859452,Large
18,CCI,2018-04-12,2018-05-07,94.45213317871094,93.2698974609375,-0.012516770960975055,Large
19,CCI,2018-05-08,2018-05-16,93.43358612060547,93.66093444824219,0.0024332612829743487,Large
20,CCI,2018-05-17,2018-05-22,92.67877197265625,92.50597381591797,-0.001864484747265137,Large
21,CCI,2018-06-26,2018-07-26,97.7410888671875,100.67259216308594,0.02999253773284459,Large
22,CCI,2018-08-16,2018-08-27,103.55815124511719,102.58403778076172,-0.009406439306257881,Large
23,CCI,2018-08-29,2018-09-12,104.73443603515625,103.12622833251953,-0.015355099655063698,Large
24,CCI,2018-09-26,2018-10-30,100.67724609375,101.5956039428711,0.009121801447229941,Large
25,CCI,2018-11-01,2018-11-27,101.41009521484375,102.48614501953125,0.010610874611722037,Large
26,CCI,2018-11-30,2019-01-15,106.58634948730469,100.60913848876953,-0.05607857879818927,Large
27,CCI,2019-01-25,2019-02-27,106.51078033447266,110.83867645263672,0.04063340916828605,Large
28,CCI,2019-03-11,2019-05-13,115.7286148071289,119.38850402832031,0.03162475613564465,Large
29,CCI,2019-05-16,2019-05-21,120.55120849609375,118.20692443847656,-0.019446375418900506,Large
30,CCI,2019-05-24,2019-05-28,120.83478546142578,119.2183609008789,-0.013377145946627166,Large
31,CCI,2019-05-31,2019-12-03,122.89549255371094,128.91981506347656,0.04901988172701063,Large
32,CCI,2019-12-05,2019-12-10,129.73667907714844,128.7756805419922,-0.007407300248411541,Large
33,CCI,2019-12-19,2020-05-05,135.67434692382812,155.07464599609375,0.14299165252778087,Large
34,CCI,2020-05-28,2020-06-23,164.9549560546875,162.89183044433594,-0.01250720596517012,Large
35,CCI,2020-06-25,2020-07-20,162.09474182128906,167.4480438232422,0.03302575976125857,Large
36,CCI,2020-07-22,2020-07-23,165.3815155029297,164.1022186279297,-0.0077354284190081545,Large
37,CCI,2020-08-14,2020-08-26,162.00619506835938,158.4044952392578,-0.022231864822094032,Large
38,CCI,2020-09-29,2020-10-22,162.795166015625,154.9320526123047,-0.048300656559824476,Large
39,CCI,2020-10-23,2020-12-02,157.13333129882812,165.43272399902344,0.05281751892863489,Large
40,CCI,2020-12-09,2021-01-05,157.0540008544922,155.61000061035156,-0.009194291366562933,Large
41,CCI,2021-01-20,2021-02-12,159.05999755859375,164.4600067138672,0.03394951111629565,Large
0,CSX,2016-06-02,2016-06-22,24.630531311035156,24.751720428466797,0.00492028027740289,Large
1,CSX,2016-06-27,2016-08-09,22.821931838989258,26.345903396606445,0.15441162397991184,Large
2,CSX,2016-09-08,2016-09-09,27.162607192993164,26.16805076599121,-0.03661491034109965,Large
3,CSX,2016-09-16,2016-10-25,27.519147872924805,28.945302963256836,0.05182410069227394,Large
4,CSX,2016-11-07,2016-12-28,30.07121467590332,34.441402435302734,0.1453279425689889,Large
5,CSX,2017-01-12,2017-02-17,36.19553756713867,45.77727127075195,0.2647214089814314,Large
6,CSX,2017-03-17,2017-04-11,44.37848663330078,44.69087219238281,0.007039121492881711,Large
7,CSX,2017-04-21,2017-05-18,48.0609016418457,47.54972457885742,-0.010636027322117677,Large
8,CSX,2017-05-19,2017-05-22,47.69171905517578,48.71409225463867,0.02143712199344462,Large
9,CSX,2017-05-25,2017-06-29,50.91975402832031,51.13829803466797,0.0042919297337160635,Large
10,CSX,2017-07-03,2017-09-06,51.77491760253906,47.90171813964844,-0.07480841384672106,Large
11,CSX,2017-09-07,2017-10-17,49.10379409790039,51.73690414428711,0.05362335222278286,Large
12,CSX,2017-10-20,2017-10-26,52.01357650756836,49.94334030151367,-0.03980184300061452,Large
13,CSX,2017-10-31,2018-01-30,48.111602783203125,54.454917907714844,0.13184584918310635,Large
14,CSX,2018-02-02,2018-03-29,52.913028717041016,53.56736755371094,0.012366308497838594,Large
15,CSX,2018-04-06,2018-04-09,52.259681701660156,52.32697296142578,0.0012876324075178462,Large
16,CSX,2018-04-18,2018-07-16,58.66352081298828,61.75006866455078,0.052614432423891085,Large
17,CSX,2018-07-18,2018-09-10,66.57428741455078,71.91873931884766,0.08027801891468338,Large
18,CSX,2018-10-11,2018-11-27,66.54805755615234,68.13507080078125,0.023847626856573628,Large
19,CSX,2018-12-03,2018-12-04,71.00125885009766,68.5261459350586,-0.03486012720231732,Large
20,CSX,2018-12-10,2019-03-12,66.2937240600586,70.75904846191406,0.06735666860124077,Large
21,CSX,2019-04-01,2019-05-14,74.69335174560547,76.19306182861328,0.020078227150866167,Large
22,CSX,2019-05-23,2019-07-01,73.40788269042969,76.8221664428711,0.046511132419387057,Large
23,CSX,2019-07-15,2019-08-28,76.69515991210938,63.88658905029297,-0.16700624754540822,Large
